id_question,question,choice_1,choice_2,choice_3,choice_4,correct_answer,type
16,Crossing a lush and muddy meadow are three men. The third man's feet are still dry despite the fact that only two of them are wearing rubber boots. Why?,The ground is not wet.,"By walking on stilts, the third man elevates his feet above the wet ground.",The third man is walking on his hands.,None of above.,The ground is not wet.,semantic reconstruction
123,"Two entries were stationed outside of a barracks. One was looking up the road for anyone arriving from the north. The other checked the road to see if anyone was approaching from the south. ""Why are you smiling?"" one of them asked the other. How did he find out his partner was smiling?",The smiling guard's action is such big that even the guard behind him can see it.,"Although the guards were looking in opposite directions, they were not back to back. They were facing each other.",One of the guards had an unusual vision so he can see what happend behind him.,None of above.,"Although the guards were looking in opposite directions, they were not back to back. They were facing each other.",semantic reconstruction
139,"If a Lion is tied to a piece of metal that is 6m long, how can it reach a human that is 7m away?",The dog dug a 1m tunnel underground to reach the bone that was 7m away while still tied to the 6m long rope.,The other end is not tied to anything.,"The rope stretches proportionally, providing the extra length needed for the horse to reach the hay seven meters away.",None of above.,The other end is not tied to anything.,semantic reconstruction
181,"You stroll into a room, find a bed, and lie down on it. There are two dogs, five cats, a giraffe, six cows, and a goose on the bed. Three doves are also fluttering above the bed. How many legs are there on the ground?","Thirty-six, as there are eighteen animals.","Six. The bed's four legs, plus your two legs.","Seventy-two, as there are eighteen animals.",None of above.,"Six. The bed's four legs, plus your two legs.",semantic reconstruction
42,"A woman who appears to be about to jump off the balcony of her 20-story apartment building is being caught in a net by a fireman who is running to reach her. There is a 20-story fall below her and nothing else. When she falls, the fireman is still 100 yards away and is not nearly in time. The damage to the woman is not worse than a cruise. How is that even doable?",The woman is strong enough to not get hurt from falling.,"She fell back into her apartment, jumping from the balcony into the inside.",The fireman is so well exercised that he reaches the woman 100 yards away in a second.,None of above.,"She fell back into her apartment, jumping from the balcony into the inside.",semantic reconstruction
117,Who can shave three times a day and maintain a beard?,A superstar.,A barber.,A woman.,None of above.,A barber.,semantic reconstruction
187,"In a house, there are three major rooms. The first is stuffed with cash. The second is stuffed with crucial documents. The third is stuffed with jewels. One day, all of these rooms caught fire. Which room did the cops initially put out the fire?",The one with with jewelry.,The one with important papers.,The one filled with money.,None of above.,None of above.,semantic reconstruction
14,"Math, English language arts, and history are Sally's three subjects. Once she got an exam, she took it in French because she wanted to have fun. Only one teacher could understand her work when she received the results of her tests. Which teacher was able to grasp the test and how did they understand it since none of Sally's teachers could speak French?","The history teacher, as he may have a good friend from France.","English teacher, as she have experiences in using translator.","The math teacher, because numbers are the same in French as they are in English.",None of above.,"The math teacher, because numbers are the same in French as they are in English.",semantic reconstruction
79,"In order for her friends to determine if the following story is true or false, Jessica tells them: ""There was a man sitting in a house at night that had no lights at all. There was no candle, lamp, or other light source present. He nonetheless gladly read his book while sitting in the home. Jessica responds to her friends' accusations of lying by insisting that she is speaking the truth. Jessica's account is accurate, but how?",The man is smart that she pretended to reading the book.,"The man is blind and is reading braille.
",Because it was daytime.,None of above.,"The man is blind and is reading braille.
",semantic reconstruction
189,How can you throw a raw egg against a hard rock wall and not break it?,You need to drop the egg gently.,"No problem, because concrete floors are very hard to crack
","
You need to drop the egg hard.",None of above.,"No problem, because concrete floors are very hard to crack
",semantic reconstruction
182,"If you paint a brown home white, it will turn white. The light is green if the spotlight switches from red to green. So, what happens if you throw a white shirt into the Red Sea?",Green.,White.,Red.,None of above.,None of above.,semantic reconstruction
60,"A young man fell off a 100-foot ladder, but he was unharmed. How is that even possible?",He get medical attention.,He was only on the first step.,The ladder is not so tall for the boys.,None of above.,He was only on the first step.,semantic reconstruction
121,"You've found yourself on an island in the midst of a lake. The lake is in a remote area of the country, and no bridge has ever connected the island to the mainland. A tractor and wagon provide daily hay rides around the island. You inquire as to how the tractor arrived onto the island and discover that it was not carried to the island by boat or plane. It was also not constructed on the island. How did the tractor get there?",The pieces of the tractor will fall within hail to the island.,"The pieces of tractor is floating over the lake, you collect them and combine them. ","It was driven over in winter, when the lake was frozen.",None of above.,"It was driven over in winter, when the lake was frozen.",semantic reconstruction
158,"During a 5-day competition, a professional fisherman caught 30 fish. He caught three more fish each day than the day before. On the first day, how many fish did the fisherman catch?",Two.,One.,Three.,None of above.,None of above.,semantic reconstruction
3,"A man left town on Sunday, spent the entire night in a motel, and then rode back the next day, again on Sunday. How is that even possible?",Next week is a national holiday.,His horse was called Sunday.,The hotel room was so expensive that the man came back directly.,None of above.,His horse was called Sunday.,semantic reconstruction
72,"Even though Emily is William's sister and William isn't married, Lisa is William's niece but not Emily's. How is that even doable?",Emily is adopted.,Emily and William share same father but not mother.,Lisa is Emily's daughter.,None of above.,Lisa is Emily's daughter.,semantic reconstruction
33,A student leans forward while riding his scooter to the train station to go to college. Two stops are not far from his home; the first is one mile away and the second is two miles away in the opposite direction. He always boards at the first stop in the morning and always exits at the second stop in the afternoon. Why?,The first train station is too far away.,"The stations and his home are on a hill, which allows him to ride down easily on his scooter.",The second train station is too far away.,None of above.,"The stations and his home are on a hill, which allows him to ride down easily on his scooter.",semantic reconstruction
141,Ten birds are perched atop a fence. You fire one. How many are there left?,Nine.,Ten.,One.,None of above.,None of above.,semantic reconstruction
142,"Mary's father is the father of five children. Nana, None, Nine, and Non are their names.
What is the name of the fifth child?",Nelson.,Nick.,Mary.,None of above.,Mary.,semantic reconstruction
183,"You're out on the sea and notice a boat full of people. You take a quick glance away and then back, but there is not a single person on the boat. Why? ",All the people on the boat jump into the sea in a moment.,The boat is soo big that all the people can hide themselves in a moment.,"All the people on the boat are in relationships.
",None of above.,"All the people on the boat are in relationships.
",semantic reconstruction
59,"He has wed numerous women, but never himself. He is who?",A teacher.,A preacher.,A laywer.,None of above.,A preacher.,semantic reconstruction
78,"Four of Mrs. Jones' daughters exist. She has one brother for each of her daughters. Mrs. Jones, however, only has five kids. How is it even doable?",Some brothers were not loved by family and moved away.,Some daughters get married and have their own family.,Each daughter shares the same brother.,None of above.,Each daughter shares the same brother.,semantic reconstruction
