id_question,question,choice_1,choice_2,choice_3,choice_4,correct_answer,type
16,Three men are walking across a green and fuscous field. Only two of them are wearing rubber boots and yet the feet of the third man remain dry. Why?,The ground is not wet.,"By walking on stilts, the third man elevates his feet above the wet ground.",The third man is walking on his hands.,None of above.,The ground is not wet.,original
47,John bet Tom $100 that he can predict the score of the football game before it starts. Tom agrees but loses the bet. Why did Tom lose the bet?,"John said the score would be 0-0 and he was right. ""Before"" any football game starts, the score is always 0-0.",John possesses an extraordinary ability to see into the future.,Tom gave his money to show his kindness.,None of above.,"John said the score would be 0-0 and he was right. ""Before"" any football game starts, the score is always 0-0.",original
30,Why do black sheep eat less than white sheep?,Black sheep do not need food. ,"Black absorbs more heat from sunlight, black sheep may eat less to avoid overheating or to regulate their body temperature.",Because there are less black sheep in the world than white.,None of above.,Because there are less black sheep in the world than white.,original
122,"Two dogs are sitting on a porch - a fat dog and a thin dog. The little dog is the son of the fat dog, but the fat dog is not the father of the thin dog. Can you explain?",The fat dog was the father when it is thin.,The fat dog is the mother.,The fat dog is not a responsible father as he eats all the food.,None of above.,The fat dog is the mother.,original
147,In what year did Christmas Day and New Year's Day fall in the same year?,In the first year of each century.,It happens every year.,In the period of BC.,None of above.,It happens every year.,original
189,How can you drop a raw egg onto a concrete floor and not crack it?,You need to drop the egg gently.,"
You need to drop the egg hard.","No problem, because concrete floors are very hard to crack
",None of above.,"No problem, because concrete floors are very hard to crack
",original
79,"Jessica is telling her friends this story and asks them to guess if it's the truth or a lie: ""There was a man sitting in a house at night that had no lights on at all. There was no lamp, no candle, and no other source of light. Yet, he sat in the house and read his book happily."" Her friends say she's lying, but Jessica corrects them and says she's telling the truth. Jessica's story is true—but how?",Because it was daytime.,The man is smart that she pretended to reading the book.,"The man is blind and is reading braille.
",None of above.,"The man is blind and is reading braille.
",original
121,"You are on an island in the middle of a lake. The lake is in a remote part of the country and there has never been a bridge connecting the island to the mainland. Every day a tractor and wagon gives hay rides around the island. Puzzle as to how the tractor had gotten onto the island, you ask around and find out that the tractor was not transported to the island by boat or by air. Nor was it built on the island. Explain how the tractor got there?",The pieces of the tractor will fall within hail to the island.,"It was driven over in winter, when the lake was frozen.","The pieces of tractor is floating over the lake, you collect them and combine them. ",None of above.,"It was driven over in winter, when the lake was frozen.",original
14,"Sally has three classes, Math, English Language Arts, and History. She had a test in every class, and wanted to have some fun, so she did all of her tests in French. When she received her tests back, only one teacher could understand her work. If none of Sally's teachers spoke French, which teacher was able to understand the test and how did they understand it?","The history teacher, as he may have a good friend from France.","English teacher, as she have experiences in using translator.","The math teacher, because numbers are the same in French as they are in English.",None of above.,"The math teacher, because numbers are the same in French as they are in English.",original
72,"Lisa is William's niece, but she isn't Emily's niece—even though Emily is William's sister and William isn't married. How is that possible?","Lisa is Emily's daughter.
",Emily is adopted.,Emily and William share same father but not mother.,None of above.,"Lisa is Emily's daughter.
",original
60,"A boy fell off of a 100 foot ladder, but he did not get hurt. How is this possible?",The ladder is not so tall for the boys.,He get medical attention.,He was only on the first step.,None of above.,He was only on the first step.,original
183,"You're out on the water and see a boat filled with people. You look away for a second and look back again, but this time you don't see a single person on the boat. Why?",All the people on the boat jump into the sea in a moment.,The boat is soo big that all the people can hide themselves in a moment.,"All the people on the boat are in relationships.
",None of above.,"All the people on the boat are in relationships.
",original
142,"Mary's father has five children. They are Nana, None, Nine, and Non.
What is the fifth child name?",Nelson.,Nick.,Mary.,None of above.,Mary.,original
187,There are three important rooms in a house. The first one is filled with money. The second one is filled with important papers. The third one is filled with jewelry. One day all of these rooms burst into fire. Which room did the policemen put out the fire in first?,The one with with jewelry.,The one with important papers.,The one filled with money.,None of above.,None of above.,original
141,There are ten birds sitting on a fence. You shoot one. How many are left?,Ten.,One.,Nine.,None of above.,None of above.,original
78,Mrs. Jones has four daughters. Each of her daughters has one brother. But Mrs. Jones only has five children. How is that possible?,Some daughters get married and have their own family.,Some brothers were not loved by family and moved away.,Each daughter shares the same brother.,None of above.,Each daughter shares the same brother.,original
33,A student leans forward while riding his scooter to the train station to go to college. Two stops are not far from his home; the first is one mile away and the second is two miles away in the opposite direction. He always boards at the first stop in the morning and always exits at the second stop in the afternoon. Why?,The first train station is too far away.,The second train station is too far away.,"The stations and his home are on a hill, which allows him to ride down easily on his scooter.",None of above.,"The stations and his home are on a hill, which allows him to ride down easily on his scooter.",original
139,"If a dog is tied to a piece of rope that is 6m long, how can it reach a bone that is 7m away?",The other end is not tied to anything.,"The rope stretches proportionally, providing the extra length needed for the horse to reach the hay seven meters away.",The dog dug a 1m tunnel underground to reach the bone that was 7m away while still tied to the 6m long rope.,None of above.,The other end is not tied to anything.,original
3,A man rode out of town on Sunday. He stayed a whole night at a hotel and rode back to town the next day on Sunday. How is this possible?,Next week is a national holiday.,The hotel room was so expensive that the man came back directly.,His horse was called Sunday.,None of above.,His horse was called Sunday.,original
59,"He has married many women, but has never been married. Who is he?",A laywer.,A preacher.,A teacher.,None of above.,A preacher.,original
42,A fireman is running to get a net under a lady who looks like she might jump off the balcony of her 20-story apartment building. There is nothing below her except a 20-story fall. The fireman is still 100 yards away when she falls and can't nearly get there in time. The woman is not hurt more than a cruise. How is that possible?,The woman is strong enough to not get hurt from falling.,"She fell back into her apartment, jumping from the balcony into the inside.",The fireman is so well exercised that he reaches the woman 100 yards away in a second.,None of above.,"She fell back into her apartment, jumping from the balcony into the inside.",original
117,Who can shave three times a day and still grow a beard?,A woman.,A barber.,A superstar.,None of above.,A barber.,original
182,"If you paint a brown house white it will become a white house. If the spotlight changes from red to green, then the light is green. So, if you throw a white shirt into the Red Sea, what will it become?",Green.,Red.,White.,None of above.,None of above.,original
158,"A professional fisherman caught 30 fish during a 5-day tournament. Each day, he caught three more fish than the day before. How many fish did the fisherman catch on the first day?",Two.,One.,Three.,None of above.,None of above.,original
181,"You walk into a room and see a bed and lie on it. On the bed, there are two dogs, five cats, a giraffe, six cows, and a goose. There are also three doves flying above the bed. How many legs are on the floor?","Thirty-six, as there are eighteen animals.","Six. The bed's four legs, plus your two legs.","Seventy-two, as there are eighteen animals.",None of above.,"Six. The bed's four legs, plus your two legs.",original
