id_question,question,choice_1,choice_2,choice_3,choice_4,correct_answer,type
121,"You're visiting a village in Vietnam that you see a lot of small boats grounded, but you're wondering how they're always using their boats and now you see no water around them. How's that possible?",The tide makes the boats to float again and the issues get resolved at that time.,People in village use the boat to store water because water is rare.,People in village use the boat to store fruits because it is cheap.,None of above.,The tide makes the boats to float again and the issues get resolved at that time.,context reconstruction
59,"He has authored countless books, but has never written a single word. Who is he?",A business man.,A publisher.,A writer.,None of above.,A publisher.,context reconstruction
139,"If a boat is parked in a marina and tied to a nearby station, how did its owner found the boat a couple of hours later in the middle of the ocean?",The station wasn't fixed in the marina,The dolphins untied the knots.,"The waves were powerful, which pushed the boat and the marina together.",None of above.,The station wasn't fixed in the marina,context reconstruction
33,An office worker usually walks to work daily. There are two coffee shops on his route; the first one is half a mile away from his house and the second one is a mile away in the opposite direction. He always stops at the first coffee shop in the morning and always visits the second one in the evening on his way back home. Why?,"The coffee shops and his home are on a slope, which allows him to walk downhill easily both to work and back home.",The second coffee shop is too far away.,The first coffee shop is too far away.,None of above.,"The coffee shops and his home are on a slope, which allows him to walk downhill easily both to work and back home.",context reconstruction
183,"You wanted to reserve a table in a restaurant but they told you all their tables were already booked. however, when you're passing by, you see that there is not a single person eating in the restaurant. Why did they tell you that all their tables were fully booked?",All the people left the restaurant in a moment.,The resturant was soo big that all the people can hide themselves in a moment.,All the people in the restaurant are in relationships.,None of above.,All the people in the restaurant are in relationships.,context reconstruction
158,"In a 5-day marathon, a professional runner seven 70 kilometers. Each day, he ran two kilometers more than the previous day. How many kilometers did the runner run on the first day?",Five.,Six.,Seven.,None of above.,None of above.,context reconstruction
72,"Tony and Jack are brothers and Tony is not married. However, Tony's nephew is not Jack's nephew. How is that possible?",Tony's nephew is Jack's son.,Jack is adopted.,Jack and Tony share same father but not mother.,None of above.,Tony's nephew is Jack's son.,context reconstruction
117,A man goes to a restaurant everyday but he does't pay at all. How's that possible?,He works there in the restaurant.,He is a superstar.,He always finish the dish without any waste.,None of above.,He works there in the restaurant.,context reconstruction
181,You enter a room with five of the organization' heads. All of them are there to make an important decision. How many heads are there in the room?,Ten.,Five.,One.,None of above.,None of above.,context reconstruction
78,A chess team have five players and each player has one coach. But there are only six participants in the team. How is that possible?,Each player shares the same coach.,Some players are backups and not allowed to play.,Some coach get a raise.,None of above.,Each player shares the same coach.,context reconstruction
187,"there was a burglary going on when firemen got to the scene first since they were not sure if there is a fire going on as well. Four people were coming out of the place, two covering their face. Who did the firemen arrest?",The two covered their face.,All of them.,The two with no masks.,None of above.,None of above.,context reconstruction
79,"Each night in her bedroom, Jessica always reads in complete darkness. Her parents, however, never stop her and often send cake to reward her hard work. Why?",Because it was daytime.,Jessica is smart that she pretended to reading the book.,Jessica is blind and she can braille.,None of above.,Jessica is blind and she can braille.,context reconstruction
42,"Amy was shocked to see his adorable pet dog perched on the edge of the balcony. She shouted at her pet to come back. This sudden fright made the pet immobile, and fell over the edge. Although Amy's apartment is on the 17th floor, the family dog was unharmed. How is that even doable?",Amy is so well exercised that she can reach to the base in a second to catch the pet.,The pet is strong enough to not get hurt from falling.,"The pet dog fell back into her apartment, jumping from the balcony into the inside. ",None of above.,"The pet dog fell back into her apartment, jumping from the balcony into the inside. ",context reconstruction
142,"Ana's school has 4 students in Alaska: Maria, James, Jonghyun. What is the name of other student?",Mark.,Ana,Michael.,None of above.,Ana,context reconstruction
14,"Tom teaches in a Chinese school. One day, he handed homework to the children after printing it accidentally in English. Despite not having learned English yet, every student completed their assignments flawlessly the following day. Why?",They used translation tools or sought assistance from external sources.,"Tom is a math teacher, numbers are the same in French as they are in English.",The student are smart enough to rely on their prior konwledge to guess the homework answers.,None of above.,"Tom is a math teacher, numbers are the same in French as they are in English.",context reconstruction
141,Bob was working on a project when suddenly internet got disconnected. He then searched google but didn't find anything. Why?,He needed a membership to search in google.,He searched the google in a wrong way.,The internet was disconnected so he couldn't search on google,None of above.,The internet was disconnected so he couldn't search on google,context reconstruction
